word,meaning,synonym1,synonym2,antonym1,antonym2,example_sentence
plethora,a large or excessive amount,abundance,excess,lack,shortage,There was a plethora of books to choose from.
pliant,easily bent or flexible,flexible,supple,rigid,stiff,The pliant branches bent easily in the wind.
plight,a difficult situation,predicament,situation,fortune,advantage,The charity helps those in desperate plight.
plummet,to fall steeply,drop,dive,rise,soar,The temperature plummeted overnight.
poignancy,the quality of evoking a keen sense of sadness,sadness,pathos,joy,happiness,The poignancy of the farewell brought tears to everyone's eyes.
poignant,evoking sadness,touching,moving,unmoved,indifferent,The film had a poignant ending.
polarity,the state of having two opposite or contradictory tendencies,opposition,contrast,unity,agreement,There was a clear polarity between the two political parties.
pomposity,the quality of being pompous or self-important,arrogance,pretentiousness,humility,modesty,His pomposity made him unpopular with his colleagues.
ponder,to think carefully,consider,contemplate,ignore,dismiss,She pondered the question before answering.
ponderous,slow and clumsy,heavy,slow,light,quick,The ponderous elephant moved slowly.
porous,having small holes that allow liquid or air to pass through,permeable,absorbent,impermeable,waterproof,The porous sponge quickly absorbed the water.
potent,powerful,strong,powerful,weak,ineffective,The potent medicine cured his illness quickly.
potential,possible future ability,possible,likely,impossible,actual,She has the potential to become a great scientist.
pragmatic,dealing with things sensibly,practical,realistic,impractical,idealistic,The pragmatic solution solved the problem quickly.
prattle,to talk at length in a foolish or inconsequential way,chatter,babble,speak seriously,discuss,The children continued to prattle about their day.
precedent,an earlier example to follow,example,model,novelty,exception,The court decision set an important precedent.
precipitate,to cause something to happen suddenly,trigger,cause,prevent,stop,The argument seemed to precipitate the end of their friendship.
precipitous,dangerously high or steep,steep,sheer,gradual,gentle,The precipitous cliff made climbing dangerous.
preclude,to prevent from happening,prevent,exclude,allow,permit,His injury precluded him from playing in the match.
precocious,advanced for one's age,advanced,gifted,backward,slow,The precocious child could read at age three.
predator,an animal that naturally preys on others,hunter,carnivore,prey,herbivore,The lion is a fierce predator in the African savannah.
predecessor,someone who came before,forerunner,precursor,successor,follower,The new manager improved on her predecessor's work.
predicament,a difficult situation,dilemma,difficulty,solution,ease,The hikers found themselves in a dangerous predicament.
predilection,a preference or special liking for something,preference,fondness,dislike,aversion,She had a predilection for classical music.
predominantly,mainly or mostly,mainly,mostly,rarely,seldom,The class was predominantly made up of girls.
prejudiced,having or showing an unfair dislike,biased,discriminatory,unbiased,fair,His prejudiced views prevented him from seeing the truth.
prelude,an action or event serving as an introduction,introduction,opening,conclusion,ending,The small argument was a prelude to a bigger conflict.
preposterous,completely ridiculous,absurd,ridiculous,sensible,reasonable,The preposterous idea made everyone laugh.
prestige,respect and admiration,status,reputation,disgrace,obscurity,The university has great prestige worldwide.
presumptuous,failing to observe the limits of what is permitted,arrogant,overconfident,modest,humble,It was presumptuous of him to assume he would win.
pretence,an attempt to make something that is not the case appear true,deception,falsehood,truth,honesty,She kept up the pretence of being happy despite her sadness.
pretentious,trying to impress,showy,pompous,modest,humble,His pretentious behaviour irritated everyone.
prevalent,widespread and common,common,widespread,rare,uncommon,Flu is prevalent during the winter months.
pristine,in original perfect condition,perfect,immaculate,damaged,dirty,The pristine beach had no litter at all.
problematic,causing problems,difficult,troublesome,easy,simple,The situation was becoming increasingly problematic.
proclaim,to announce publicly,announce,declare,conceal,hide,The town crier would proclaim the news loudly.
proclivity,a tendency to choose or do something regularly,tendency,inclination,aversion,dislike,He had a proclivity for getting into trouble.
procure,"to obtain something, especially with care or effort",obtain,acquire,lose,relinquish,She managed to procure tickets for the sold-out concert.
prodigal,wastefully extravagant,wasteful,extravagant,thrifty,frugal,The prodigal son spent all his inheritance quickly.
prodigious,remarkably great,enormous,impressive,ordinary,small,The child had prodigious musical talent.
prodigy,a person with exceptional talent,genius,wonder,ordinary person,average,Mozart was a musical prodigy.
profane,not respectful of religious practice,irreverent,sacrilegious,sacred,holy,Using profane language in the church was inappropriate.
profess,to claim openly but often falsely,claim,declare,deny,conceal,He professed his innocence despite the evidence.
profligate,recklessly extravagant or wasteful,wasteful,extravagant,thrifty,careful,His profligate spending left him in debt.
profound,very deep or significant,deep,significant,shallow,superficial,The book had a profound effect on her thinking.
profusion,an abundance or large quantity,abundance,plenty,scarcity,lack,A profusion of flowers covered the garden.
proliferation,rapid increase in numbers,multiplication,spread,reduction,decrease,The proliferation of mobile phones changed how people communicate.
prolific,producing much fruit or many offspring,productive,fertile,barren,unproductive,The prolific author wrote over fifty books.
prologue,an introductory section of a literary work,introduction,preface,epilogue,conclusion,The prologue set the scene for the story.
prominence,the state of being important or famous,importance,fame,obscurity,insignificance,The actor rose to prominence after his first major film.
prophetic,accurately predicting what will happen in the future,predictive,foretelling,unpredictable,uncertain,His words proved to be prophetic when the disaster occurred.
propriety,proper behaviour,correctness,decorum,impropriety,rudeness,She always behaved with perfect propriety.
prosper,to succeed financially,thrive,flourish,fail,decline,The business continued to prosper each year.
protagonist,the leading character in a story,hero,main character,antagonist,villain,The protagonist of the story was a brave young girl.
protract,to prolong or extend,extend,lengthen,shorten,abbreviate,The negotiations threatened to protract the dispute.
proverb,a short saying expressing a general truth,saying,maxim,nonsense,falsehood,"""A stitch in time saves nine"" is a well-known proverb."
provincial,relating to a province or the provinces,regional,local,metropolitan,cosmopolitan,The provincial town was far from the capital city.
provisional,"arranged for the present, possibly to be changed later",temporary,tentative,permanent,final,The provisional agreement would be reviewed next month.
provocative,causing annoyance or anger,inflammatory,controversial,soothing,calming,His provocative comments started an argument.
proximity,nearness in distance,closeness,nearness,distance,remoteness,The proximity of the shops was convenient.
prudence,the quality of being cautious and sensible,wisdom,caution,recklessness,foolishness,She showed great prudence in her financial decisions.
prudent,showing good judgement,sensible,wise,foolish,reckless,It was prudent to save money for emergencies.
pseudonym,a fictitious name used by an author,pen name,alias,real name,true identity,The author wrote under a pseudonym to remain anonymous.
pugnacious,eager or quick to argue or fight,aggressive,combative,peaceful,gentle,His pugnacious nature made him difficult to work with.
pungent,having a strong smell or taste,strong,sharp,mild,bland,The pungent smell of garlic filled the kitchen.
punitive,intended as punishment,punishing,disciplinary,rewarding,lenient,The punitive measures were considered too harsh.
quagmire,a soft boggy area of land,bog,marsh,solid ground,firm land,The soldiers got stuck in the quagmire.
quandary,a state of perplexity or uncertainty,dilemma,predicament,certainty,clarity,She was in a quandary about which university to choose.
quarantine,isolation to prevent disease spreading,isolation,separation,freedom,release,The sick animals were kept in quarantine.
quarry,a place where stone is extracted,mine,pit,deposit,fill,The old quarry was now filled with water.
querulous,complaining in a whining manner,complaining,whining,content,satisfied,The querulous child never stopped complaining.
quintessential,representing the most perfect example,typical,perfect,atypical,imperfect,She was the quintessential English teacher.
quondary,a state of perplexity or uncertainty,dilemma,predicament,certainty,clarity,He found himself in a quondary about the decision.
raconteur,a person who tells anecdotes in a skilful way,storyteller,narrator,listener,audience,The raconteur entertained everyone with his stories.
raiment,clothing,garments,apparel,nakedness,bareness,The king's raiment was made of the finest silk.
ramble,to walk for pleasure in the countryside,wander,stroll,hurry,rush,They decided to ramble through the woods on Sunday.
ramification,a complex or unwelcome consequence,consequence,result,cause,origin,The ramification of his decision affected many people.
rampant,spreading uncontrollably,widespread,uncontrolled,controlled,limited,Crime became rampant in the neglected area.
rancour,bitterness or resentfulness,bitterness,resentment,forgiveness,kindness,There was still rancour between the two families.
ransack,to search thoroughly and messily,search,plunder,organise,tidy,Burglars ransacked the house looking for valuables.
rant,to speak or shout at length in an angry way,rave,fulminate,whisper,calm speech,He began to rant about the unfair treatment.
rapacious,aggressively greedy or grasping,greedy,predatory,generous,giving,The rapacious landlord raised the rent unfairly.
rapid,very fast,fast,swift,slow,gradual,The rapid growth surprised everyone.
rarity,the state of being rare,uncommonness,scarcity,commonness,abundance,The rarity of the gemstone made it very valuable.
ratify,to formally approve,approve,confirm,reject,refuse,The parliament voted to ratify the treaty.
rationale,a set of reasons for a course of action,reason,justification,irrationality,nonsense,She explained the rationale behind her decision.
raucous,"making a harsh, loud noise",noisy,rowdy,quiet,peaceful,The raucous crowd cheered loudly at the match.
ravenous,extremely hungry,famished,starving,full,satisfied,"After the long hike, they were ravenous."
reactionary,opposing political or social progress,conservative,traditionalist,progressive,liberal,The reactionary politician opposed all changes.
rebuttal,a refutation or contradiction,refutation,denial,agreement,confirmation,Her rebuttal of the accusation was convincing.
recalcitrant,stubbornly disobedient,uncooperative,defiant,cooperative,obedient,The recalcitrant student refused to follow rules.
recant,to say that one no longer holds an opinion,retract,withdraw,affirm,maintain,He was forced to recant his statement.
recede,to move back or diminish,retreat,withdraw,advance,increase,The floodwaters began to recede slowly.
receptacle,a container,container,holder,contents,empty space,She placed the flowers in a beautiful receptacle.
receptive,willing to consider new ideas,open,responsive,closed,resistant,She was receptive to the new suggestions.
recluse,a person who lives a solitary life,hermit,loner,socialite,extrovert,The old man was a recluse who rarely left his house.
reclusive,avoiding the company of other people,solitary,withdrawn,sociable,outgoing,The reclusive author rarely gave interviews.
recount,to tell or count again,narrate,describe,silence,withhold,She began to recount her adventures.
rectify,to correct or put right,correct,fix,worsen,damage,We need to rectify this mistake immediately.
recuperate,to recover from illness or exertion,recover,heal,deteriorate,worsen,She needed time to recuperate after the operation.
redemption,the action of saving or being saved from sin or error,salvation,rescue,damnation,condemnation,He sought redemption for his past mistakes.
redundant,no longer needed,unnecessary,surplus,necessary,essential,Several workers were made redundant.
reflective,relating to or characterised by deep thought,thoughtful,contemplative,superficial,shallow,She was in a reflective mood after the exam.
refute,to prove wrong,disprove,deny,confirm,prove,The evidence refuted his claims completely.
regretful,feeling or showing regret,sorry,remorseful,unrepentant,satisfied,He was regretful about his harsh words.
reinvigorate,to give new energy or strength to,revitalise,refresh,weaken,tire,The holiday helped to reinvigorate her enthusiasm.
reiterate,to repeat for emphasis,repeat,restate,silence,retract,Let me reiterate the important points.
relatively,in relation or comparison to,comparatively,proportionally,absolutely,completely,The task was relatively easy compared to the previous one.
relegate,to consign or dismiss to an inferior rank or position,demote,downgrade,promote,elevate,The team was relegated to a lower division.
relinquish,to give up,surrender,abandon,keep,retain,He had to relinquish his position as captain.
relish,to enjoy greatly,enjoy,savour,dislike,hate,She relished the opportunity to travel.
reluctant,unwilling,unwilling,hesitant,willing,eager,He was reluctant to admit his mistake.
reminiscent,tending to remind one of something,suggestive,evocative,forgettable,unmemorable,The old house was reminiscent of her childhood home.
remnant,a small remaining quantity,remainder,leftover,whole,entirety,Only a remnant of the ancient wall remained.
remnants,small remaining quantities,remains,leftovers,whole,complete,The remnants of the meal were put in the fridge.
remorse,deep regret,regret,guilt,satisfaction,pride,He felt remorse for his unkind words.
renegade,a person who deserts and betrays an organisation or set of principles,traitor,defector,loyalist,supporter,The renegade soldier joined the enemy forces.
renounce,to give up formally,abandon,reject,accept,embrace,She renounced her claim to the throne.
renowned,famous and respected,famous,celebrated,unknown,obscure,The renowned artist exhibited her work worldwide.
repel,to drive away,push away,disgust,attract,welcome,The strong smell repelled the insects.
repelled,driven back or away,repulsed,disgusted,attracted,charmed,She was repelled by the sight of the decaying food.
repentant,expressing or feeling sincere regret,remorseful,contrite,unrepentant,defiant,The repentant thief returned the stolen goods.
repercussions,unintended consequences of an action,consequences,effects,causes,origins,The decision had serious repercussions for everyone involved.
replete,full of,full,filled,empty,lacking,The book is replete with beautiful illustrations.
reprehensible,deserving censure or condemnation,disgraceful,shameful,praiseworthy,admirable,His reprehensible behaviour shocked everyone.
repress,to hold back or suppress,suppress,restrain,express,release,He tried to repress his anger.
reprieve,a cancellation or postponement of a punishment,pardon,respite,punishment,sentence,The prisoner received a last-minute reprieve.
reproach,to express disapproval,criticise,blame,praise,commend,Her look of reproach made him feel guilty.
reprove,to reprimand or censure,scold,rebuke,praise,commend,The teacher had to reprove the student for cheating.
repudiate,to reject as invalid,reject,deny,accept,acknowledge,She repudiated the false accusations.
repugnant,extremely distasteful,disgusting,revolting,pleasant,appealing,The idea was repugnant to everyone.
repulsive,causing strong dislike,disgusting,revolting,attractive,appealing,The repulsive smell came from the rubbish bin.
rescind,to cancel officially,cancel,revoke,confirm,establish,The company decided to rescind the offer.
residue,a small amount of something that remains,remainder,remnant,whole,entirety,A residue of soap was left in the sink.
resigned,having accepted something unpleasant,accepting,submissive,resistant,defiant,She was resigned to the fact that she had failed.
resilience,the capacity to recover quickly from difficulties,toughness,endurance,fragility,weakness,Her resilience helped her overcome many challenges.
resonant,"deep, clear, and continuing to sound",reverberating,echoing,muffled,silent,The resonant bell could be heard across the valley.
resonates,"produces a deep, clear, continuing sound",echoes,reverberates,silences,stifles,The music resonates throughout the concert hall.
respite,a short period of rest or relief,break,rest,continuation,persistence,The rain provided a brief respite from the heat.
resplendent,attractive and impressive through being richly colourful,splendid,magnificent,dull,plain,The queen appeared in resplendent robes.
responsibility,the state of being accountable for something,duty,obligation,irresponsibility,neglect,Taking care of the pet was her responsibility.
restraint,the action of keeping something under control,control,restriction,freedom,liberty,He showed great restraint in not responding to the insult.
reticent,unwilling to speak,reserved,quiet,talkative,outspoken,He was reticent about his personal life.
retiring,shy and fond of being on one's own,shy,reserved,outgoing,sociable,The retiring student preferred to work alone.
retort,to say something in answer to a remark,reply,respond,question,ask,She had a quick retort for every criticism.
retract,to withdraw a statement or accusation,withdraw,recant,maintain,affirm,The newspaper was forced to retract the false story.
retrieve,to get back,recover,reclaim,lose,abandon,The dog retrieved the ball from the water.
revere,to respect deeply,respect,admire,despise,mock,Many people revere the ancient traditions.
reverence,deep respect for someone or something,respect,honour,disrespect,contempt,They showed reverence for the ancient monument.
reverent,feeling or showing deep respect,respectful,devout,irreverent,disrespectful,The reverent silence filled the cathedral.
revile,to criticise in an abusive or angrily insulting manner,criticise,abuse,praise,compliment,The angry mob began to revile the politician.
rhapsody,an effusively enthusiastic expression of feeling,ecstasy,rapture,apathy,indifference,She went into rhapsodies about the beautiful sunset.
rhetoric,persuasive speaking or writing,eloquence,oratory,silence,simplicity,The politician used powerful rhetoric.
rhetorical,relating to or concerned with rhetoric,oratorical,persuasive,literal,direct,The rhetorical question was meant to make them think.
rigorous,extremely thorough,strict,demanding,lenient,lax,The training programme was rigorous.
rigueur,strictness or severity,strictness,severity,leniency,flexibility,The de rigueur dress code was strictly enforced.
risqué,slightly indecent or liable to shock,suggestive,daring,decent,proper,The risqué joke made some people uncomfortable.
rudimentary,involving or limited to basic principles,basic,elementary,advanced,sophisticated,He had only a rudimentary understanding of the subject.
rueful,expressing sorrow or regret,regretful,sorrowful,cheerful,happy,She gave a rueful smile after making the mistake.
ruffian,"a violent person, especially one involved in crime",thug,hooligan,gentleman,peacemaker,The ruffian was arrested for causing trouble.
rummage,to search untidily through something,search,rifle,organise,arrange,She had to rummage through her bag to find her keys.
rupture,to break or burst suddenly,break,burst,mend,repair,The pipe began to rupture under the pressure.
ruthless,showing no mercy,merciless,cruel,merciful,kind,The ruthless villain showed no compassion.
sabotage,to deliberately destroy or damage,undermine,disrupt,support,assist,The spy tried to sabotage the enemy's plans.
sagacious,having or showing keen mental discernment,wise,shrewd,foolish,unwise,The sagacious old man gave excellent advice.
sanctimonious,making a show of being morally superior,self-righteous,pious,humble,genuine,His sanctimonious attitude annoyed everyone.
sanction,official permission or punishment,approval,penalty,prohibition,reward,The government imposed sanctions on the country.
sanctity,the state of being holy or sacred,holiness,sacredness,profanity,secularity,The sanctity of the temple was respected by all visitors.
sanctuary,a safe place of protection,refuge,haven,danger,exposure,The wildlife sanctuary protected endangered species.
sanguine,optimistic and cheerful,optimistic,hopeful,pessimistic,gloomy,Despite difficulties she remained sanguine.
sarcasm,the use of irony to mock or convey contempt,irony,mockery,sincerity,genuineness,Her sarcasm was lost on those who didn't understand irony.
sarcastic,using irony to mock,mocking,ironic,sincere,earnest,His sarcastic remarks hurt her feelings.
satisfying,giving fulfilment or pleasure,fulfilling,pleasing,unsatisfying,disappointing,Completing the puzzle was very satisfying.
saturate,to soak completely,drench,soak,dry,drain,The rain saturated the soil.
savoury,belonging to the category of salty or spicy food,salty,spicy,sweet,bland,She preferred savoury snacks to sweet ones.
scarcity,the state of being scarce or in short supply,shortage,lack,abundance,plenty,The scarcity of water became a serious problem.
scenic,providing or relating to views of attractive scenery,picturesque,beautiful,ugly,unattractive,They took the scenic route through the mountains.
sceptical,not easily convinced,doubtful,unconvinced,convinced,believing,She was sceptical about the claims in the advertisement.
scholastic,relating to schools and education,academic,educational,practical,non-academic,His scholastic achievements were impressive.
scintillating,sparkling or shining brightly,brilliant,sparkling,dull,boring,The scintillating conversation kept everyone engaged.
scrupulous,very careful and thorough,meticulous,careful,careless,unscrupulous,He was scrupulous about following the rules.
scrutinise,to examine closely,examine,inspect,ignore,overlook,The inspector scrutinised every detail.
scrutinize,to examine or inspect closely,examine,inspect,ignore,overlook,The detective began to scrutinize the evidence carefully.
scurrilous,making or spreading scandalous claims,slanderous,defamatory,complimentary,respectful,The scurrilous rumours spread quickly through the school.
secluded,hidden away from others,isolated,private,public,exposed,The secluded beach was hard to find.
seclusion,the state of being private and away from people,isolation,privacy,publicity,exposure,She sought seclusion in the quiet library.
sectarian,denoting or concerning a sect,factional,partisan,unified,inclusive,The sectarian violence divided the community.
secular,not connected with religious or spiritual matters,non-religious,worldly,religious,sacred,The school was a secular institution.
sedentary,involving much sitting,inactive,stationary,active,mobile,A sedentary lifestyle can cause health problems.
segue,to move smoothly from one topic to another,transition,move,stop,pause,The speaker managed to segue from one topic to the next.
self-deprecating,modest about or critical of oneself,self-critical,modest,arrogant,boastful,His self-deprecating humour made him very likeable.
self-effacing,not claiming attention for oneself,modest,humble,self-promoting,boastful,The self-effacing author rarely gave interviews.
self-righteous,having or characterised by a certainty of being morally right,sanctimonious,pious,humble,self-critical,His self-righteous attitude made him unpopular.
semantics,the branch of linguistics concerned with meaning,meaning,interpretation,syntax,grammar,They argued about the semantics of the word.
sequester,to isolate or hide away,isolate,seclude,expose,reveal,The jury was sequestered during the trial.
serendipity,the occurrence of pleasant things by chance,luck,fortune,misfortune,bad luck,Finding the lost ring was pure serendipity.
serene,calm and peaceful,peaceful,tranquil,troubled,agitated,The serene lake reflected the mountains.
serenity,the state of being calm and peaceful,calm,peace,chaos,turbulence,The serenity of the garden helped her relax.
servile,having or showing an excessive willingness to serve,submissive,obsequious,independent,assertive,His servile behaviour towards his boss was embarrassing.
severe,very strict or serious,harsh,strict,mild,lenient,The severe weather caused school closures.
severity,the fact or condition of being severe,harshness,strictness,leniency,mildness,The severity of the punishment shocked everyone.
shallow,not deep or superficial,superficial,surface,deep,profound,The shallow water was warm and clear.
shrewd,clever and practical,clever,astute,naive,foolish,The shrewd businessman made a good deal.
shrill,high-pitched and piercing,piercing,sharp,deep,mellow,The shrill sound of the alarm woke everyone up.
significant,important and meaningful,important,meaningful,insignificant,trivial,The discovery was a significant breakthrough.
silhouette,the dark shape and outline of someone or something,outline,shape,detail,full view,The silhouette of the castle stood against the evening sky.
simile,a figure of speech comparing one thing with another,comparison,metaphor,literal,direct,"""As brave as a lion"" is a simile."
singular,unique or exceptional,unique,exceptional,common,ordinary,His singular talent made him famous.
sinister,suggesting evil,menacing,threatening,friendly,harmless,The sinister figure lurked in the shadows.
slacken,to make or become less active,loosen,relax,tighten,increase,The wind began to slacken as the storm passed.
slander,false spoken statements,defamation,libel,praise,truth,She sued the newspaper for slander.
slothful,lazy,lazy,idle,industrious,active,The slothful student never completed his homework.
slovenly,untidy and dirty,untidy,messy,neat,tidy,His slovenly appearance concerned his parents.
sluggish,slow and lacking energy,slow,lethargic,quick,energetic,The sluggish traffic made us late.
sociable,willing to talk and engage in activities with others,friendly,outgoing,unsociable,withdrawn,She was very sociable and made friends easily.
solemnity,the state or quality of being serious,seriousness,gravity,frivolity,lightness,The solemnity of the occasion was marked by silence.
solicit,to ask for or try to obtain something,request,seek,refuse,reject,The charity began to solicit donations from the public.
solitude,the state of being alone,loneliness,isolation,company,companionship,She enjoyed the solitude of the early morning.
sombre,dark and gloomy,gloomy,dark,bright,cheerful,The sombre news cast a shadow over the day.
sonnet,a poem of fourteen lines,poem,verse,prose,narrative,Shakespeare wrote many famous sonnets.
soothing,having a gently calming effect,calming,relaxing,agitating,disturbing,The soothing music helped her fall asleep.
sophisticated,complex or worldly,complex,refined,simple,naive,The sophisticated machinery needed expert handling.
spendthrift,a person who spends money in an extravagant way,wastrel,profligate,miser,saver,The spendthrift quickly ran through his inheritance.
sphere,a round solid figure,globe,ball,cube,square,The Earth is approximately a sphere.
spiteful,showing or caused by malice,malicious,vindictive,kind,benevolent,Her spiteful comments hurt his feelings.
spontaneity,the condition of being spontaneous,impulsiveness,naturalness,planning,deliberation,The spontaneity of their decision made it exciting.
spontaneous,happening naturally without planning,unplanned,impulsive,planned,deliberate,The spontaneous applause surprised the performer.
spoonerism,a verbal error in which initial consonants are swapped,slip of the tongue,error,correct speech,accuracy,"Saying ""well-boiled icicle"" instead of ""well-oiled bicycle"" is a spoonerism."
sporadic,occurring irregularly,irregular,occasional,regular,constant,Sporadic showers are expected throughout the day.
spurious,false or fake,false,fake,genuine,authentic,His spurious claims were quickly disproven.
squabble,to quarrel noisily over a trivial matter,quarrel,bicker,agree,harmonise,The children began to squabble over the toy.
squalor,the state of being extremely dirty and unpleasant,filth,squalidness,cleanliness,purity,The family lived in squalor in the run-down house.
squander,to waste recklessly,waste,fritter,save,conserve,Don't squander your talents on trivial things.
squeak,to make a high-pitched sound,squeal,screech,roar,bellow,The door began to squeak when opened.
stagnant,not flowing or developing,still,motionless,flowing,progressive,The stagnant water bred mosquitoes.
stance,a way of standing,posture,position,movement,motion,The boxer took a defensive stance.
stanza,a group of lines forming a unit in a poem,verse,section,prose,paragraph,Each stanza of the poem had four lines.
static,not moving or changing,stationary,still,moving,dynamic,The population remained static for decades.
steadfast,firmly loyal,loyal,unwavering,disloyal,wavering,She remained steadfast in her beliefs.
stereotype,a fixed general idea,cliché,generalisation,individual,unique,We should challenge harmful stereotypes.
stimulating,encouraging or arousing interest,exciting,inspiring,boring,dull,The stimulating discussion kept everyone engaged.
stingy,unwilling to spend,mean,miserly,generous,lavish,The stingy man refused to donate anything.
stipulatory,relating to a condition or requirement,conditional,required,optional,voluntary,The stipulatory terms had to be met before approval.
stoic,enduring pain without complaint,patient,unemotional,emotional,complaining,She remained stoic despite her suffering.
stolid,not easily excited,impassive,unemotional,emotional,excitable,His stolid expression revealed nothing.
strenuous,requiring great effort,demanding,exhausting,easy,relaxing,The strenuous hike lasted all day.
strident,loud and harsh,harsh,loud,quiet,soft,His strident voice dominated the meeting.
stringent,very strict,strict,severe,lenient,relaxed,Stringent measures were introduced for safety.
stupefy,to make someone unable to think clearly,bewilder,confuse,clarify,enlighten,The complex problem seemed to stupefy the students.
stupidity,behaviour that shows a lack of good sense,foolishness,idiocy,wisdom,intelligence,The stupidity of his actions was obvious to everyone.
stupor,a state of near-unconsciousness,daze,lethargy,alertness,consciousness,He fell into a stupor after the accident.
sublime,of outstanding quality,magnificent,superb,ordinary,inferior,The sublime music moved the audience to tears.
subordinate,lower in rank,junior,inferior,superior,senior,She treated her subordinates with respect.
subservient,prepared to obey others unquestioningly,submissive,obedient,independent,assertive,The subservient assistant never questioned his boss.
subside,to become less intense,decrease,diminish,increase,intensify,The storm began to subside by evening.
substantial,considerable in size,considerable,significant,insignificant,small,She made a substantial contribution to the fund.
substantiate,to provide evidence,prove,verify,disprove,refute,He could not substantiate his claims.
subterfuge,deceit used to achieve one's goal,deception,trickery,honesty,openness,He used subterfuge to avoid telling the truth.
subtlety,the quality of being subtle,delicacy,nuance,obviousness,bluntness,The subtlety of her argument impressed the judges.
succinct,brief and clear,brief,concise,wordy,verbose,Her succinct reply answered the question perfectly.
suggestible,open to suggestion,impressionable,influenced,independent,resistant,Children are often more suggestible than adults.
sundry,of various kinds,various,miscellaneous,specific,particular,The shop sold sundry items from around the world.
supercilious,behaving as if one is superior to others,arrogant,haughty,humble,modest,His supercilious attitude made him unpopular.
superficial,only on the surface,surface,shallow,deep,thorough,The superficial wound healed quickly.
superiority,the state of being superior,supremacy,dominance,inferiority,subordination,His sense of superiority annoyed his classmates.
supersede,to take the place of,replace,supplant,precede,come before,The new law will supersede the old one.
supplicate,to ask or beg for something earnestly,beg,plead,demand,command,They had to supplicate for mercy from the king.
suppress,to put down or hold back,restrain,subdue,express,release,She tried to suppress her laughter.
surly,bad-tempered and unfriendly,grumpy,rude,friendly,polite,The surly waiter ignored our request.
surmount,to overcome a difficulty,overcome,conquer,succumb,fail,She managed to surmount all the obstacles in her path.
surpass,to exceed,exceed,outdo,fail,fall short,Her performance surpassed all expectations.
surreptitious,kept secret because it would not be approved of,secret,clandestine,open,public,He made a surreptitious glance at the answers.
susceptible,likely to be affected,vulnerable,prone,immune,resistant,Children are susceptible to colds in winter.
swallow,to cause food or drink to pass down the throat,consume,ingest,spit,reject,She had to swallow the bitter medicine.
sweltering,uncomfortably hot,scorching,oppressive,cool,freezing,The sweltering heat made it difficult to work outside.
swindler,a person who uses deception to obtain money,fraudster,cheat,honest person,benefactor,The swindler tricked many people out of their savings.
sycophancy,obsequious behaviour towards someone important,flattery,obsequiousness,independence,honesty,His sycophancy towards the teacher was obvious to everyone.
sycophant,a person who acts obsequiously towards someone important,flatterer,toady,critic,independent,The sycophant always agreed with whatever the boss said.
symbolism,the use of symbols to represent ideas,representation,metaphor,literal,direct,The symbolism in the poem added depth to its meaning.
symmetry,the quality of being made up of exactly similar parts,balance,proportion,asymmetry,imbalance,The butterfly's wings showed perfect symmetry.
sympathiser,a person who agrees with or supports a cause,supporter,ally,opponent,enemy,The sympathiser helped the refugees find shelter.
synecdoche,a figure of speech in which a part is made to represent the whole,metonymy,figure of speech,whole,complete,"Using ""wheels"" to refer to a car is an example of synecdoche."
synonym,a word or phrase that means the same as another,equivalent,alternative,antonym,opposite,"""Happy"" is a synonym for ""joyful""."
taciturn,reserved or uncommunicative in speech,silent,reticent,talkative,chatty,The taciturn man rarely spoke to anyone.
tactile,relating to the sense of touch,touchable,tangible,intangible,abstract,The tactile experience of the soft fabric was pleasant.
tangible,perceptible by touch,touchable,physical,intangible,abstract,There was no tangible evidence of the crime.
tantamount,equivalent in seriousness to,equivalent,equal,different,unequal,His refusal was tantamount to an admission of guilt.
tapestry,a piece of thick textile fabric with pictures,hanging,fabric,plain cloth,blanket,The ancient tapestry told a story of battles and heroes.
tardy,delayed beyond the expected time,late,delayed,punctual,on time,The tardy student missed the beginning of the lesson.
tautology,the saying of the same thing twice in different words,repetition,redundancy,variety,diversity,"""Free gift"" is a tautology because gifts are always free."
taxing,physically or mentally demanding,demanding,challenging,easy,simple,The taxing exam required hours of concentration.
tedious,"too long, slow, or dull",boring,monotonous,interesting,exciting,The tedious lecture seemed to last forever.
temper,a person's state of mind,mood,disposition,calm,composure,She lost her temper when she heard the news.
tenacity,the quality of being persistent,persistence,determination,weakness,giving up,Her tenacity helped her overcome all obstacles.
tenant,a person who occupies land or property,occupant,renter,landlord,owner,The tenant paid rent to the landlord every month.
tentative,not certain or fixed,uncertain,provisional,definite,certain,They made a tentative plan to meet next week.
tenuous,very weak or slight,weak,fragile,strong,solid,There was only a tenuous connection between the two events.
terminate,to bring to an end,end,finish,begin,start,The company decided to terminate his contract.
termination,the action of ending something,ending,conclusion,beginning,start,The termination of the agreement came as a surprise.
threadbare,worn thin with age,worn,shabby,new,pristine,His threadbare coat showed years of wear.
thrilled,feeling very excited,excited,delighted,disappointed,unhappy,She was thrilled to receive the award.
thrive,to grow or develop well,flourish,prosper,decline,fail,The plants began to thrive in the sunny garden.
thwart,to prevent someone from accomplishing something,prevent,frustrate,help,assist,The bad weather threatened to thwart their plans.
tirade,"a long, angry speech",rant,diatribe,praise,compliment,He launched into a tirade about the unfair treatment.
tormenting,causing severe physical or mental suffering,torturing,torturing,comforting,soothing,The tormenting memories kept him awake at night.
