word,meaning,synonyms,antonyms,example_sentences
cultivate,"to grow plants or develop skills","[""grow"", ""develop"", ""nurture""]","[""neglect"", ""destroy"", ""abandon""]","[""Farmers cultivate crops in the fields.""]"
cumulative,"increasing by successive additions","[""accumulating"", ""accumulative"", ""collective"", ""growing"", ""increasing""]","[""decreasing"", ""diminishing"", ""individual"", ""reducing"", ""separate""]","[""The cumulative effect of the changes was significant."", ""The cumulative effect was significant.""]"
curious,"eager to learn or know something","[""eager"", ""inquisitive"", ""interested""]","[""bored"", ""indifferent"", ""uninterested""]","[""The curious child asked many questions."", ""The curious child explored the garden.""]"
currency,"the money used in a country","[""money"", ""cash"", ""legal tender""]","[""barter"", ""debt"", ""trade""]","[""The currency in Britain is the pound.""]"
current,"happening now; or a flow of water or electricity","[""present"", ""ongoing"", ""contemporary""]","[""past"", ""former"", ""outdated""]","[""Stay informed about current events.""]"
cursory,"hasty and superficial","[""brief"", ""hurried"", ""superficial""]","[""thorough"", ""careful"", ""detailed""]","[""He gave the document a cursory glance.""]"
curtail,"to reduce or cut short","[""cut"", ""limit"", ""reduce"", ""restrict""]","[""expand"", ""extend"", ""increase""]","[""Budget cuts will curtail the programme.""]"
customary,"usually done according to tradition","[""traditional"", ""usual"", ""normal""]","[""unusual"", ""unconventional"", ""rare""]","[""It is customary to shake hands when meeting.""]"
cynical,"believing people are motivated by self-interest","[""sceptical"", ""doubtful"", ""distrustful""]","[""trusting"", ""optimistic"", ""believing""]","[""She was cynical about his motives.""]"
cynicism,"distrust of human sincerity","[""distrust"", ""pessimism"", ""scepticism""]","[""faith"", ""idealism"", ""optimism"", ""trust""]","[""His cynicism about politics grew over time."", ""His cynicism was off-putting.""]"
damage,"to harm or break something","[""harm"", ""hurt"", ""break""]","[""repair"", ""fix"", ""mend""]","[""The storm caused damage to the roof.""]"
dangerous,"likely to cause harm or injury","[""unsafe"", ""risky"", ""hazardous""]","[""safe"", ""secure"", ""harmless""]","[""It is dangerous to run near the swimming pool.""]"
daring,"willing to take risks; bold","[""brave"", ""bold"", ""adventurous""]","[""cautious"", ""timid"", ""careful""]","[""The daring acrobat walked on the tightrope.""]"
daunt,"to make someone feel intimidated","[""discourage"", ""intimidate"", ""unnerve""]","[""encourage"", ""hearten"", ""reassure""]","[""Don't let the challenge daunt you.""]"
daunting,"seeming difficult and intimidating","[""challenging"", ""frightening"", ""intimidating""]","[""easy"", ""encouraging"", ""reassuring""]","[""The task ahead seemed daunting.""]"
dazzle,"to impress someone greatly or blind with light","[""amaze"", ""impress"", ""blind""]","[""bore"", ""dull"", ""darken""]","[""The fireworks dazzle everyone at the show.""]"
dazzling,"extremely bright or impressive","[""brilliant"", ""stunning"", ""sparkling""]","[""dull"", ""dim"", ""ordinary""]","[""The dazzling fireworks lit up the sky.""]"
dearth,"a scarcity or lack of something","[""deficiency"", ""lack"", ""scarcity"", ""shortage""]","[""abundance"", ""plenty"", ""surplus""]","[""There is a dearth of evidence."", ""There is a dearth of qualified teachers.""]"
debacle,"a sudden disastrous failure","[""disaster"", ""fiasco"", ""catastrophe""]","[""success"", ""triumph"", ""victory""]","[""The project ended in a complete debacle.""]"
debilitate,"to make weak or infirm","[""weaken"", ""enfeeble"", ""incapacitate""]","[""strengthen"", ""invigorate"", ""energise""]","[""The illness debilitated him for months.""]"
debris,"scattered pieces of rubbish or remains","[""wreckage"", ""rubble"", ""remains""]","[""cleanliness"", ""order"", ""tidiness""]","[""The storm left debris all over the beach.""]"
debunk,"to expose false claims","[""discredit"", ""disprove"", ""expose""]","[""confirm"", ""prove"", ""support""]","[""Scientists debunked the myth about spiders.""]"
decadent,"characterised by moral decline","[""corrupt"", ""degenerate"", ""immoral""]","[""moral"", ""virtuous"", ""upright""]","[""Critics called the society decadent.""]"
deceitful,"guilty of deliberately misleading others","[""deceptive"", ""dishonest"", ""untruthful""]","[""honest"", ""sincere"", ""truthful""]","[""The deceitful merchant cheated his customers.""]"
deceive,"to trick someone into believing something false","[""trick"", ""mislead"", ""fool""]","[""enlighten"", ""inform"", ""be honest""]","[""He tried to deceive us with his lies.""]"
decent,"good enough; respectable","[""acceptable"", ""reasonable"", ""respectable""]","[""poor"", ""unacceptable"", ""bad""]","[""He did a decent job on the project.""]"
decimate,"to destroy a large part of","[""annihilate"", ""destroy"", ""devastate""]","[""preserve"", ""protect"", ""save""]","[""The storm decimated the crops."", ""Pests decimated the garden.""]"
decipher,"to work out the meaning of something","[""decode"", ""interpret"", ""solve""]","[""confuse"", ""encode"", ""scramble""]","[""Can you decipher this secret code?""]"
decisive,"making decisions quickly and firmly","[""determined"", ""resolute"", ""firm""]","[""indecisive"", ""hesitant"", ""uncertain""]","[""The captain made a decisive move.""]"
declare,"to say something officially or firmly","[""announce"", ""state"", ""proclaim""]","[""deny"", ""conceal"", ""hide""]","[""The teacher will declare the results tomorrow.""]"
decline,"to politely refuse or become less","[""refuse"", ""decrease"", ""reduce""]","[""accept"", ""increase"", ""rise""]","[""She had to decline the invitation.""]"
decorum,"behaviour in keeping with good taste","[""propriety"", ""etiquette"", ""dignity""]","[""impropriety"", ""rudeness"", ""indecency""]","[""Please maintain decorum during the ceremony.""]"
decrease,"to become smaller or less","[""reduce"", ""lessen"", ""shrink""]","[""increase"", ""grow"", ""expand""]","[""The temperature will decrease tonight.""]"
dedicate,"to devote time and effort to something","[""commit"", ""devote"", ""give""]","[""abandon"", ""ignore"", ""neglect""]","[""I dedicate this song to my grandmother."", ""She will dedicate the book to her mother.""]"
defamation,"damaging someone's reputation","[""slander"", ""libel"", ""vilification""]","[""praise"", ""commendation"", ""vindication""]","[""He sued the newspaper for defamation.""]"
defect,"a fault or imperfection","[""fault"", ""flaw"", ""imperfection""]","[""advantage"", ""perfection"", ""strength""]","[""There was a small defect in the glass.""]"
defend,"to protect from attack or criticism","[""protect"", ""guard"", ""shield""]","[""attack"", ""harm"", ""assault""]","[""The goalkeeper tried to defend the goal.""]"
deference,"humble submission and respect","[""respect"", ""regard"", ""esteem""]","[""disrespect"", ""contempt"", ""insolence""]","[""He spoke with deference to his elders.""]"
defiant,"showing open resistance","[""disobedient"", ""rebellious"", ""resistant""]","[""compliant"", ""obedient"", ""submissive""]","[""The defiant child refused to apologise.""]"
deficiency,"a lack or shortage of something","[""shortage"", ""deficit"", ""inadequacy""]","[""surplus"", ""abundance"", ""excess""]","[""The soil has a vitamin deficiency.""]"
deficient,"lacking something essential","[""inadequate"", ""insufficient"", ""lacking""]","[""sufficient"", ""adequate"", ""complete""]","[""The diet was deficient in vitamins.""]"
define,"to explain the meaning of something","[""explain"", ""describe"", ""clarify""]","[""confuse"", ""obscure"", ""muddle""]","[""Can you define what this word means?""]"
definitive,"done in a conclusive way","[""authoritative"", ""conclusive"", ""final""]","[""preliminary"", ""provisional"", ""temporary"", ""tentative"", ""uncertain""]","[""This is the definitive edition."", ""This is the definitive guide on the topic.""]"
defunct,"no longer existing or functioning","[""extinct"", ""obsolete"", ""dead""]","[""active"", ""functioning"", ""operational""]","[""The company is now defunct.""]"
defy,"to refuse to obey or challenge something","[""resist"", ""challenge"", ""disobey""]","[""obey"", ""follow"", ""comply""]","[""The brave girl decided to defy the bully.""]"
delay,"to make something happen later than planned","[""postpone"", ""put off"", ""hold up""]","[""hurry"", ""rush"", ""advance""]","[""Bad weather caused a delay to our flight.""]"
delegate,"to entrust a task to another person","[""assign"", ""entrust"", ""transfer""]","[""hold"", ""keep"", ""retain"", ""withhold""]","[""She will delegate responsibilities."", ""She will delegate tasks to her team.""]"
deleterious,"causing harm or damage","[""harmful"", ""damaging"", ""injurious""]","[""beneficial"", ""helpful"", ""advantageous""]","[""Too much junk food can have deleterious effects on health.""]"
deliberate,"done consciously and intentionally","[""calculated"", ""careful"", ""intentional"", ""planned""]","[""accidental"", ""hasty"", ""spontaneous"", ""unintentional"", ""unplanned""]","[""It was a deliberate act of defiance."", ""It was a deliberate attempt to deceive."", ""The foul was a deliberate act.""]"
delicate,"easily damaged; needing careful handling","[""dainty"", ""fine"", ""fragile"", ""sensitive""]","[""robust"", ""rough"", ""sturdy"", ""tough""]","[""Handle the delicate china with care."", ""The delicate flower needs gentle care.""]"
delicious,"tasting very good","[""tasty"", ""yummy"", ""scrumptious""]","[""horrible"", ""disgusting"", ""nasty""]","[""Grandma made a delicious chocolate cake.""]"
delighted,"very happy and pleased","[""thrilled"", ""pleased"", ""overjoyed""]","[""disappointed"", ""upset"", ""unhappy""]","[""I was delighted to receive your letter.""]"
delineate,"to describe or indicate precisely","[""outline"", ""define"", ""describe""]","[""obscure"", ""confuse"", ""blur""]","[""The report delineates the main issues.""]"
delirious,"in a disturbed state of mind","[""confused"", ""feverish"", ""incoherent""]","[""coherent"", ""lucid"", ""rational""]","[""The patient became delirious with fever.""]"
deluge,"a severe flood; overwhelming amount","[""avalanche"", ""flood"", ""torrent""]","[""dearth"", ""drought"", ""scarcity"", ""trickle""]","[""We received a deluge of complaints.""]"
demand,"to ask for something firmly","[""request"", ""insist"", ""require""]","[""offer"", ""give"", ""provide""]","[""The customers demand better service.""]"
demeanour,"outward behaviour or bearing","[""manner"", ""conduct"", ""bearing""]","[""rudeness"", ""impoliteness"", ""harshness""]","[""Her calm demeanour impressed everyone.""]"
demise,"the end of something","[""death"", ""end"", ""downfall""]","[""birth"", ""beginning"", ""rise""]","[""The demise of the plan was sudden.""]"
demographic,"relating to population statistics","[""census"", ""population"", ""sociological"", ""statistical""]","[""individual"", ""personal"", ""single""]","[""The demographic data shows an aging population."", ""The demographic shift affected policies.""]"
demolish,"to destroy a building completely","[""destroy"", ""knock down"", ""raze""]","[""build"", ""construct"", ""create""]","[""They will demolish the old factory.""]"
demonstrate,"to show how something works or is done","[""show"", ""display"", ""prove""]","[""hide"", ""conceal"", ""disprove""]","[""Let me demonstrate how to use the computer.""]"
denote,"to indicate or be a sign of","[""indicate"", ""signify"", ""represent""]","[""hide"", ""conceal"", ""mislead""]","[""A red light denotes danger.""]"
denounce,"to publicly declare to be wrong","[""censure"", ""condemn"", ""criticise""]","[""approve"", ""endorse"", ""praise"", ""support""]","[""Leaders denounced the attack."", ""World leaders denounced the act of aggression.""]"
dense,"packed closely together; thick","[""thick"", ""compact"", ""solid""]","[""sparse"", ""thin"", ""scattered""]","[""The dense fog made driving difficult.""]"
deny,"to say something is not true","[""refuse"", ""reject"", ""contradict""]","[""admit"", ""accept"", ""confirm""]","[""He tried to deny eating the last biscuit.""]"
depend,"to rely on someone or something","[""rely"", ""count on"", ""trust""]","[""distrust"", ""doubt"", ""ignore""]","[""Young animals depend on their parents.""]"
depict,"to represent in a picture or words","[""describe"", ""illustrate"", ""portray"", ""show""]","[""conceal"", ""hide"", ""misrepresent"", ""obscure""]","[""The film depicts life in Victorian England."", ""The mural depicts scenes from history."", ""The painting depicts a beautiful sunset.""]"
deplete,"to reduce the amount of something","[""consume"", ""drain"", ""exhaust"", ""use up""]","[""fill"", ""replenish"", ""restore""]","[""We must not deplete natural resources."", ""We must not deplete our natural resources.""]"
deplorable,"deserving strong condemnation","[""shameful"", ""disgraceful"", ""appalling""]","[""admirable"", ""praiseworthy"", ""commendable""]","[""The conditions were deplorable.""]"
deploy,"to move into position for use","[""position"", ""station"", ""arrange""]","[""withdraw"", ""remove"", ""recall""]","[""The army will deploy troops to the border.""]"
depose,"to remove from office suddenly","[""overthrow"", ""oust"", ""remove""]","[""install"", ""appoint"", ""establish""]","[""The dictator was deposed by the army.""]"
deprecate,"to express disapproval of","[""criticise"", ""condemn"", ""disparage""]","[""approve"", ""praise"", ""endorse""]","[""He deprecated the use of rude language.""]"
deprived,"lacking basic necessities","[""disadvantaged"", ""needy"", ""poor""]","[""privileged"", ""advantaged"", ""affluent""]","[""The charity helps deprived communities.""]"
derelict,"in poor condition due to neglect","[""dilapidated"", ""ruined"", ""abandoned""]","[""maintained"", ""pristine"", ""cared for""]","[""The derelict building was demolished.""]"
derivative,"imitative of another's work","[""imitative"", ""unoriginal"", ""copied""]","[""original"", ""innovative"", ""creative""]","[""Critics called the film derivative.""]"
derive,"to obtain from a source","[""extract"", ""gain"", ""get"", ""obtain""]","[""give"", ""lose"", ""provide""]","[""Many English words derive from Latin."", ""Many words derive from Latin roots."", ""Many words derive from Latin.""]"
derogatory,"showing disrespect or criticism","[""disparaging"", ""insulting"", ""critical""]","[""complimentary"", ""respectful"", ""flattering""]","[""He made derogatory comments about her work.""]"
descend,"to go down or move downward","[""go down"", ""drop"", ""fall""]","[""ascend"", ""rise"", ""climb""]","[""We watched the plane descend through the clouds.""]"
describe,"to say what something is like","[""explain"", ""portray"", ""tell""]","[""conceal"", ""hide"", ""distort""]","[""Can you describe what happened?""]"
deserve,"to have earned something through actions","[""earn"", ""merit"", ""warrant""]","[""forfeit"", ""lose"", ""be unworthy""]","[""You deserve a reward for your hard work.""]"
designate,"to officially assign a role or name","[""appoint"", ""assign"", ""name"", ""nominate""]","[""demote"", ""dismiss"", ""reject"", ""remove""]","[""They will designate her as team leader."", ""They will designate him as team captain.""]"
desire,"to want something very much","[""want"", ""wish"", ""long for""]","[""dislike"", ""reject"", ""hate""]","[""Her greatest desire was to visit Paris.""]"
desolate,"deserted and depressingly empty","[""barren"", ""bleak"", ""deserted"", ""forsaken""]","[""cheerful"", ""lively"", ""populated"", ""thriving"", ""vibrant""]","[""The desolate landscape stretched for miles.""]"
despair,"complete loss of hope","[""hopelessness"", ""misery"", ""anguish""]","[""hope"", ""optimism"", ""joy""]","[""She felt despair after losing the match.""]"
desperate,"having a great need or feeling hopeless","[""hopeless"", ""urgent"", ""frantic""]","[""hopeful"", ""calm"", ""patient""]","[""The thirsty traveller was desperate for water.""]"
despondent,"in low spirits from loss of hope","[""dejected"", ""downcast"", ""disheartened""]","[""hopeful"", ""cheerful"", ""optimistic""]","[""She felt despondent after the rejection.""]"
destitute,"without the basic necessities of life","[""impoverished"", ""penniless"", ""poor""]","[""wealthy"", ""affluent"", ""prosperous""]","[""Many families were left destitute.""]"
destroy,"to damage something so badly it cannot be fixed","[""ruin"", ""wreck"", ""demolish""]","[""build"", ""create"", ""repair""]","[""The storm did not destroy any houses in our village.""]"
detach,"to separate or remove something","[""separate"", ""remove"", ""disconnect""]","[""attach"", ""connect"", ""join""]","[""Please detach the form and return it.""]"
detail,"a small individual part or feature","[""particular"", ""feature"", ""element""]","[""whole"", ""overview"", ""summary""]","[""Pay attention to every detail.""]"
detect,"to discover or notice something","[""find"", ""discover"", ""notice""]","[""miss"", ""overlook"", ""ignore""]","[""Dogs can detect hidden objects by smell.""]"
deter,"to discourage someone from doing something","[""discourage"", ""dissuade"", ""prevent""]","[""encourage"", ""entice"", ""promote""]","[""The alarm system will deter burglars.""]"
deteriorate,"to become progressively worse","[""decay"", ""decline"", ""worsen""]","[""enhance"", ""improve"", ""recover"", ""strengthen""]","[""The weather will deteriorate this afternoon."", ""The weather will deteriorate tonight.""]"
determine,"to decide or find out something","[""decide"", ""establish"", ""resolve""]","[""question"", ""doubt"", ""waver""]","[""We need to determine who won the race.""]"
detrimental,"tending to cause harm","[""damaging"", ""harmful"", ""injurious""]","[""advantageous"", ""beneficial"", ""helpful""]","[""Skipping sleep is detrimental to health."", ""Too much screen time can be detrimental.""]"
develop,"to grow or change over time","[""grow"", ""evolve"", ""improve""]","[""decline"", ""shrink"", ""deteriorate""]","[""The tadpole will develop into a frog.""]"
deviate,"to depart from an established course","[""diverge"", ""stray"", ""differ""]","[""conform"", ""follow"", ""adhere""]","[""Do not deviate from the plan.""]"
device,"a thing made for a particular purpose","[""gadget"", ""tool"", ""instrument""]","[""improvisation"", ""absence"", ""nothing""]","[""This device helps you measure temperature.""]"
devise,"to plan or invent something clever","[""invent"", ""create"", ""plan""]","[""copy"", ""imitate"", ""destroy""]","[""She devised a clever solution to the problem.""]"
devoid,"entirely lacking or free from","[""empty"", ""lacking"", ""without""]","[""full"", ""replete"", ""abundant""]","[""The room was devoid of furniture.""]"
devote,"to give time and effort to something","[""dedicate"", ""commit"", ""give""]","[""neglect"", ""ignore"", ""abandon""]","[""She will devote her weekend to practising piano.""]"
devour,"to eat hungrily or consume quickly","[""consume"", ""eat"", ""gobble""]","[""leave"", ""nibble"", ""reject""]","[""The hungry wolf devoured its meal.""]"
dexterity,"skill in performing tasks","[""adroitness"", ""agility"", ""nimbleness"", ""skill""]","[""awkwardness"", ""clumsiness"", ""ineptitude"", ""ineptness""]","[""The surgeon's dexterity was impressive."", ""The surgeon's dexterity was remarkable.""]"
diabolical,"extremely wicked or cruel","[""evil"", ""fiendish"", ""devilish""]","[""angelic"", ""virtuous"", ""saintly""]","[""The villain hatched a diabolical plan.""]"
dichotomy,"a division into two contrasting parts","[""contrast"", ""division"", ""split""]","[""agreement"", ""harmony"", ""unity"", ""wholeness""]","[""There is a dichotomy between theory and practice."", ""There is a dichotomy between work and life.""]"
didactic,"intended to teach or instruct","[""educational"", ""instructive"", ""informative""]","[""entertaining"", ""amusing"", ""uninstructive""]","[""The book has a didactic purpose.""]"
differentiate,"to recognise or show differences","[""distinguish"", ""discriminate"", ""separate""]","[""confuse"", ""blend"", ""mix""]","[""Can you differentiate between the twins?""]"
difficult,"hard to do or understand","[""hard"", ""challenging"", ""tough""]","[""easy"", ""simple"", ""straightforward""]","[""The maths problem was very difficult.""]"
diffident,"modest and shy; lacking confidence","[""shy"", ""timid"", ""unassuming""]","[""confident"", ""bold"", ""assertive""]","[""She was too diffident to speak up.""]"
diffuse,"to spread over a wide area","[""spread"", ""scatter"", ""disperse""]","[""concentrate"", ""focus"", ""gather""]","[""The light diffused through the curtains.""]"
dignified,"having a serious and calm manner","[""composed"", ""noble"", ""stately""]","[""humiliating"", ""shameful"", ""undignified""]","[""She accepted the award in a dignified manner.""]"
dignity,"being calm and worthy of respect","[""pride"", ""honour"", ""self-respect""]","[""shame"", ""humiliation"", ""disgrace""]","[""She accepted the prize with dignity.""]"
digress,"to leave the main subject temporarily","[""deviate"", ""wander"", ""stray""]","[""focus"", ""concentrate"", ""adhere""]","[""Let me digress for a moment.""]"
dilapidated,"in a state of disrepair","[""rundown"", ""decrepit"", ""shabby""]","[""pristine"", ""well-maintained"", ""new""]","[""The dilapidated house needed renovation.""]"
dilemma,"a difficult choice between options","[""predicament"", ""quandary"", ""problem""]","[""solution"", ""certainty"", ""clarity""]","[""She faced a moral dilemma.""]"
diligence,"careful and persistent work","[""industriousness"", ""perseverance"", ""effort""]","[""laziness"", ""negligence"", ""carelessness""]","[""Success requires diligence and patience.""]"
diligent,"showing careful and persistent effort","[""careful"", ""conscientious"", ""hardworking"", ""industrious"", ""thorough""]","[""careless"", ""idle"", ""lazy"", ""negligent""]","[""The diligent student always completed homework."", ""The diligent student always did homework."", ""The diligent student always finished her work.""]"
dim,"not bright; hard to see","[""dark"", ""faint"", ""dull""]","[""bright"", ""clear"", ""vivid""]","[""The dim light made it hard to read.""]"
diminish,"to make or become smaller or less","[""decrease"", ""lessen"", ""reduce""]","[""expand"", ""grow"", ""increase""]","[""The noise began to diminish as we walked away."", ""The pain will gradually diminish.""]"
diminutive,"extremely or unusually small","[""tiny"", ""small"", ""miniature""]","[""large"", ""huge"", ""enormous""]","[""The diminutive bird was hard to spot.""]"
direct,"straight; without stopping or changing","[""straight"", ""immediate"", ""clear""]","[""indirect"", ""roundabout"", ""unclear""]","[""Take the direct route to school.""]"
disappointed,"feeling sad because something did not happen as hoped","[""upset"", ""let down"", ""unhappy""]","[""pleased"", ""satisfied"", ""happy""]","[""I was disappointed when the trip was cancelled.""]"
disaster,"a terrible event that causes damage","[""catastrophe"", ""tragedy"", ""calamity""]","[""success"", ""blessing"", ""fortune""]","[""The flood was a disaster for the town.""]"
discard,"to throw something away","[""throw away"", ""dispose"", ""reject""]","[""keep"", ""save"", ""retain""]","[""Please discard any rubbish in the bin.""]"
discern,"to perceive or recognise something","[""detect"", ""distinguish"", ""perceive"", ""recognise""]","[""ignore"", ""miss"", ""overlook""]","[""It was hard to discern the truth.""]"
disclose,"to make known or reveal","[""divulge"", ""expose"", ""reveal"", ""tell""]","[""conceal"", ""hide"", ""withhold""]","[""He refused to disclose the secret."", ""The company refused to disclose the information.""]"
discover,"to find something for the first time","[""find"", ""uncover"", ""detect""]","[""lose"", ""miss"", ""overlook""]","[""The explorer hoped to discover hidden treasure.""]"
discreet,"careful not to attract attention","[""careful"", ""cautious"", ""tactful""]","[""careless"", ""indiscreet"", ""obvious""]","[""Please be discreet about this information.""]"
discrepancy,"a difference between things","[""difference"", ""disparity"", ""inconsistency"", ""variation""]","[""agreement"", ""consistency"", ""correspondence"", ""match""]","[""There was a discrepancy in the accounts.""]"
discrete,"individually separate and distinct","[""distinct"", ""individual"", ""separate""]","[""combined"", ""connected"", ""continuous"", ""joined""]","[""The project has three discrete phases."", ""The project was divided into discrete stages.""]"
discretion,"the freedom to decide what should be done","[""judgement"", ""prudence"", ""choice""]","[""indiscretion"", ""carelessness"", ""recklessness""]","[""I leave the decision to your discretion.""]"
discriminate,"to treat people unfairly based on differences","[""prejudice"", ""bias"", ""distinguish""]","[""treat fairly"", ""include"", ""accept""]","[""It is wrong to discriminate against anyone.""]"
disdain,"the feeling that something is unworthy","[""contempt"", ""derision"", ""disrespect"", ""scorn""]","[""admiration"", ""regard"", ""respect""]","[""He looked at the broken toy with disdain."", ""She looked at him with disdain."", ""She looked at the mess with disdain.""]"
disgruntled,"angry or dissatisfied","[""dissatisfied"", ""discontented"", ""annoyed""]","[""satisfied"", ""pleased"", ""content""]","[""The disgruntled customer complained loudly.""]"
disgust,"a strong feeling of dislike","[""revulsion"", ""dislike"", ""distaste""]","[""delight"", ""pleasure"", ""attraction""]","[""The rotten smell filled him with disgust.""]"
disingenuous,"not candid or sincere","[""insincere"", ""dishonest"", ""deceitful""]","[""sincere"", ""genuine"", ""honest""]","[""His apology seemed disingenuous.""]"
dismal,"causing gloom or depression","[""gloomy"", ""bleak"", ""dreary""]","[""cheerful"", ""bright"", ""pleasant""]","[""The dismal weather ruined our plans.""]"
dismay,"a feeling of shock and disappointment","[""alarm"", ""distress"", ""shock""]","[""delight"", ""joy"", ""pleasure""]","[""To our dismay the shop was closed.""]"
dismiss,"to send someone away or reject an idea","[""send away"", ""reject"", ""discharge""]","[""accept"", ""welcome"", ""hire""]","[""The teacher did not dismiss the class early.""]"
disparage,"to regard or represent as worthless","[""belittle"", ""criticise"", ""denigrate""]","[""praise"", ""commend"", ""compliment""]","[""Don't disparage her achievements.""]"
disparity,"a great difference","[""difference"", ""gap"", ""inequality""]","[""equality"", ""parity"", ""similarity""]","[""There is a disparity in income levels."", ""There is a disparity in wages.""]"
dispassionate,"not influenced by emotion","[""impartial"", ""objective"", ""neutral""]","[""emotional"", ""biased"", ""partial""]","[""The judge remained dispassionate.""]"
dispel,"to make something disappear","[""banish"", ""eliminate"", ""remove""]","[""cause"", ""create"", ""produce""]","[""The sunshine helped dispel the fog.""]"
disperse,"to scatter in different directions","[""scatter"", ""spread"", ""distribute""]","[""gather"", ""collect"", ""assemble""]","[""The crowd began to disperse after the concert.""]"
display,"to show something for people to see","[""show"", ""exhibit"", ""present""]","[""hide"", ""conceal"", ""cover""]","[""The shop has a lovely display in the window.""]"
dispose,"to get rid of something","[""throw away"", ""discard"", ""remove""]","[""keep"", ""retain"", ""save""]","[""Please dispose of waste responsibly.""]"
disposition,"a person's natural character","[""temperament"", ""character"", ""nature""]","[""instability"", ""changeability"", ""inconsistency""]","[""She has a cheerful disposition.""]"
disproportionate,"too large or small in comparison","[""unequal"", ""excessive"", ""unbalanced""]","[""proportionate"", ""balanced"", ""equal""]","[""The punishment was disproportionate to the crime.""]"
dispute,"a disagreement or argument","[""argument"", ""conflict"", ""quarrel""]","[""agreement"", ""harmony"", ""consensus""]","[""There was a dispute over the boundary.""]"
disrupt,"to interrupt or throw into disorder","[""disturb"", ""interrupt"", ""upset""]","[""continue"", ""maintain"", ""preserve"", ""support""]","[""Protests will disrupt the conference."", ""The protesters will disrupt the meeting.""]"
disseminate,"to spread information widely","[""spread"", ""distribute"", ""broadcast""]","[""withhold"", ""suppress"", ""conceal""]","[""The news was quickly disseminated.""]"
dissent,"disagreement with official opinion","[""disagreement"", ""opposition"", ""objection""]","[""agreement"", ""consent"", ""approval""]","[""There was dissent among the committee.""]"
dissident,"a person who opposes official policy","[""rebel"", ""protester"", ""nonconformist""]","[""conformist"", ""loyalist"", ""supporter""]","[""The dissident was imprisoned for his views.""]"
dissolution,"the closing down or breaking up","[""termination"", ""disbandment"", ""ending""]","[""formation"", ""creation"", ""establishment""]","[""The dissolution of parliament was announced.""]"
distant,"far away in space or time","[""far"", ""remote"", ""faraway""]","[""near"", ""close"", ""nearby""]","[""We could see distant mountains on the horizon.""]"
distinct,"clearly different or separate","[""clear"", ""different"", ""separate"", ""unique""]","[""identical"", ""same"", ""similar"", ""unclear"", ""vague""]","[""Each flower has a distinct smell."", ""Each snowflake has a distinct pattern."", ""Each species has distinct characteristics.""]"
distinctive,"having a quality that makes it different","[""characteristic"", ""unique"", ""individual""]","[""ordinary"", ""common"", ""typical""]","[""The bird has a distinctive call.""]"
distinguish,"to recognise differences between things","[""differentiate"", ""tell apart"", ""identify""]","[""confuse"", ""mix up"", ""blend""]","[""Can you distinguish between the twins?""]"
distort,"to twist out of shape or misrepresent","[""misrepresent"", ""twist"", ""warp""]","[""clarify"", ""correct"", ""straighten""]","[""Bias can distort the truth."", ""The mirror distorted my reflection.""]"
distract,"to take attention away from something","[""divert"", ""sidetrack"", ""disturb""]","[""focus"", ""concentrate"", ""help""]","[""Do not let the noise distract you.""]"
distribute,"to give out or spread something","[""hand out"", ""spread"", ""share""]","[""collect"", ""gather"", ""withhold""]","[""Volunteers will distribute the leaflets.""]"
disturb,"to interrupt or upset someone","[""bother"", ""interrupt"", ""trouble""]","[""calm"", ""soothe"", ""comfort""]","[""Please do not disturb me while I am working.""]"
diverge,"to separate and go in different directions","[""branch"", ""separate"", ""split""]","[""converge"", ""join"", ""meet""]","[""The paths diverge at the old oak tree.""]"
diverse,"showing variety and differences","[""assorted"", ""different"", ""mixed"", ""varied""]","[""homogeneous"", ""identical"", ""similar"", ""uniform""]","[""London has a diverse population."", ""London is a diverse and multicultural city.""]"
divisive,"causing disagreement or hostility","[""controversial"", ""polarising"", ""contentious""]","[""unifying"", ""harmonising"", ""uniting""]","[""The policy proved to be divisive.""]"
docile,"willing to be taught or controlled","[""compliant"", ""gentle"", ""obedient""]","[""rebellious"", ""stubborn"", ""wild""]","[""The docile horse was easy to ride.""]"
doctrine,"a belief or set of beliefs","[""belief"", ""principle"", ""teaching""]","[""doubt"", ""questioning"", ""disbelief""]","[""The doctrine was accepted by all members."", ""The doctrine was widely accepted.""]"
dogmatic,"inclined to impose one's views","[""opinionated"", ""authoritarian"", ""dictatorial""]","[""open-minded"", ""flexible"", ""tolerant""]","[""His dogmatic approach alienated colleagues.""]"
domain,"an area of knowledge or activity","[""field"", ""area"", ""territory""]","[""outside"", ""unfamiliarity"", ""foreign""]","[""Mathematics is not my domain of expertise.""]"
domestic,"relating to the home or family","[""home"", ""household"", ""family""]","[""foreign"", ""wild"", ""international""]","[""Cats are domestic animals that live with people.""]"
dominant,"most important or powerful","[""leading"", ""ruling"", ""prevailing""]","[""subordinate"", ""minor"", ""secondary""]","[""English is the dominant language online.""]"
dormant,"temporarily inactive but able to become active","[""inactive"", ""latent"", ""sleeping""]","[""active"", ""alert"", ""awake""]","[""The volcano has been dormant for centuries."", ""The volcano has been dormant for years.""]"
doubt,"to feel unsure about something","[""question"", ""mistrust"", ""suspect""]","[""trust"", ""believe"", ""accept""]","[""I doubt that it will rain today.""]"
